,Site,Fish_no,Spp,Section,FL_mm,Wt_g,Scale,Mort
1,2,201,Omy,4,68,3.4,N,N
2,2,202,Omy,4,63,2.2,N,N
3,2,203,Omy,4,73,4.3,N,N
4,2,204,Omy,4,66,3.1,N,N
5,2,205,Omy,4,65,3.8,N,N
6,2,206,Omy,4,57,2,N,N
7,2,207,Omy,4,63,2.9,N,N
8,2,208,Omy,4,59,2.1,N,N
9,2,209,Omy,4,64,3,N,N
10,2,210,Omy,4,60,2.3,N,N
11,2,211,Omy,4,52,1.7,N,N
12,2,212,Omy,4,55,1.8,N,N
13,2,213,Omy,4,55,1.7,N,N
14,2,214,Omy,4,50,1.2,N,N
15,2,215,Omy,4,53,1.5,N,N
16,2,216,Omy,5,72,5.2,N,N
17,2,217,Omy,5,62,3.8,N,N
18,2,218,Omy,5,71,4,N,N
19,2,219,Omy,5,60,3,N,N
20,2,220,Omy,5,65,3.3,N,N
21,2,221,Omy,5,73,4.8,N,N
22,2,222,Omy,5,59,2.3,N,N
23,2,223,Omy,5,75,4.9,Y,N
24,2,224,Omy,5,70,3.9,N,N
25,2,225,Omy,5,65,3.6,N,N
26,2,226,Omy,5,63,2.8,N,N
27,2,227,Omy,5,63,3.3,N,N
28,2,228,Omy,5,57,2.3,N,N
29,2,229,Omy,5,60,2.3,N,N
30,2,230,Omy,5,61,2.6,N,N
31,2,231,Omy,1,62,2.6,N,N
32,2,232,Omy,1,54,2.1,N,N
33,2,233,Omy,1,60,2.4,N,N
34,2,234,Omy,1,69,3.9,N,N
35,2,235,Omy,1,69,4.5,N,N
36,2,236,Omy,1,65,3,N,N
37,2,237,Omy,1,71,4.4,N,N
38,2,238,Omy,1,61,3.1,N,N
39,2,239,Omy,1,60,2.6,N,N
40,2,240,Omy,1,70,4,N,N
41,2,241,Omy,1,71,3.9,N,N
42,2,242,Omy,1,52,1.4,N,N
43,2,243,Omy,1,63,3.4,N,N
44,2,244,Omy,1,52,1.6,N,N
45,2,245,Omy,1,59,2.3,N,N
46,2,246,Omy,2,67,3.4,N,N
47,2,247,Omy,2,60,2.3,N,N
48,2,248,Omy,2,70,3.7,N,N
49,2,249,Omy,2,65,3.1,N,N
50,2,250,Omy,2,62,2.6,N,N
51,2,251,Omy,2,64,2.7,N,N
52,2,252,Omy,2,62,2.5,N,N
53,2,253,Omy,2,52,1.5,N,N
54,2,254,Omy,2,65,3,N,N
55,2,255,Omy,2,58,1.9,N,N
56,2,256,Omy,2,57,2.2,N,N
57,2,257,Omy,2,53,1.6,N,N
58,2,258,Omy,2,59,2.7,N,N
59,2,259,Omy,2,50,1.3,N,N
60,2,260,Omy,2,54,1.7,N,N
61,2,261,Omy,3,73,5,N,N
62,2,262,Omy,3,69,4.4,N,N
63,2,263,Omy,3,74,5.4,N,N
64,2,264,Omy,3,62,2.5,N,N
65,2,265,Omy,3,64,2.9,N,N
66,2,266,Omy,3,64,2.8,N,N
67,2,267,Omy,3,61,3,N,N
68,2,268,Omy,3,53,1.5,N,N
69,2,269,Omy,3,69,3.5,N,N
70,2,270,Omy,3,59,2,N,N
71,2,271,Omy,3,55,2.1,N,N
72,2,272,Omy,3,70,3.8,N,N
73,2,273,Omy,3,59,2.1,N,N
74,2,274,Omy,3,66,3.6,N,N
75,2,275,Omy,3,61,2.3,N,N
76,3,301,Omy, 4/5,50,1.7,N,N
77,3,302,Omy, 4/5,65,3.5,N,N
78,3,303,Omy, 4/5,64,2.5,N,N
79,3,304,Omy, 4/5,68,3.8,N,N
80,3,305,Omy, 4/5,60,2.4,N,N
81,3,306,Omy, 4/5,73,3.9,N,N
82,3,307,Omy, 4/5,56,2.3,N,N
83,3,308,Omy, 4/5,62,2.4,N,N
84,3,309,Omy, 4/5,74,4.2,N,N
85,3,310,Omy, 4/5,59,2.3,N,N
